ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-01-02 08:05:00,2020-01-02 13:55:00,5.83,PROFIT_TARGET,EURUSD,GBPUSD,72.0,72.0,0.00014,0.00033,1.12063,1.11847,1.32193,1.31995,1.0,0.43,0.4277,21.6,19.8,41.4,216.0,85.14,301.14
2,LONG,2020-01-02 16:25:00,2020-01-02 17:55:00,1.5,PROFIT_TARGET,EURUSD,GBPUSD,22.5,20.5,0.00053,0.00086,1.11776,1.12004,1.31519,1.31888,1.0,0.61,0.6134,22.8,36.9,59.7,228.0,225.09,453.09
3,LONG,2020-01-02 19:05:00,2020-01-06 11:40:00,88.58,PROFIT_TARGET,EURUSD,GBPUSD,6.3,6.4,0.00041,0.00088,1.11655,1.1189,1.3122099999999999,1.31439,1.0,0.46,0.4626,23.5,21.8,45.3,235.0,100.28,335.28
4,SHORT,2020-01-06 11:45:00,2020-01-07 15:30:00,27.75,PROFIT_TARGET,EURUSD,GBPUSD,86.9,93.7,0.00039,0.00108,1.11894,1.11686,1.31437,1.31172,1.0,0.36,0.3604,20.8,26.5,47.3,208.0,95.4,303.4
5,SHORT,2020-01-07 19:30:00,2020-01-08 14:40:00,19.17,PROFIT_TARGET,EURUSD,GBPUSD,72.9,72.0,0.00025,0.00065,1.11447,1.11229,1.31276,1.3099,1.0,0.38,0.3839,21.8,28.6,50.4,218.0,108.68,326.68
6,LONG,2020-01-08 18:15:00,2020-01-15 16:30:00,166.25,PROFIT_TARGET,EURUSD,GBPUSD,26.8,21.2,0.00038,0.00115,1.11124,1.11627,1.30851,1.30294,1.0,0.33,0.3322,50.3,-55.7,-5.4,503.0,-183.81,319.19
7,SHORT,2020-01-15 16:35:00,2020-01-17 12:45:00,44.17,PROFIT_TARGET,EURUSD,GBPUSD,71.9,85.6,0.00049,0.00075,1.11572,1.11184,1.30315,1.30427,1.0,0.66,0.6569,38.8,-11.2,27.6,388.0,-73.92,314.08
8,LONG,2020-01-17 17:25:00,2020-01-21 12:30:00,91.08,PROFIT_TARGET,EURUSD,GBPUSD,27.2,24.4,0.00038,0.00045,1.10953,1.11092,1.3023799999999999,1.30487,1.0,0.85,0.8451,13.9,24.9,38.8,139.0,211.65,350.65
9,SHORT,2020-01-21 12:35:00,2020-01-21 23:35:00,11.0,PROFIT_TARGET,EURUSD,GBPUSD,74.9,82.4,0.00047,0.00052,1.11067,1.10824,1.30467,1.30397,1.0,0.91,0.9109,24.3,7.0,31.3,243.0,63.7,306.7
10,LONG,2020-01-21 23:40:00,2020-01-22 12:00:00,12.33,PROFIT_TARGET,EURUSD,GBPUSD,22.3,17.2,0.00014,0.00015,1.1082,1.10919,1.3039,1.30648,1.0,0.97,0.9726,9.9,25.8,35.7,99.0,250.26,349.26
11,SHORT,2020-01-22 12:15:00,2020-01-23 17:35:00,29.33,PROFIT_TARGET,EURUSD,GBPUSD,76.4,77.2,0.00023,0.00062,1.10914,1.10438,1.30607,1.3104,1.0,0.38,0.3774,47.6,-43.3,4.3,476.0,-164.54,311.46
12,SHORT,2020-01-23 19:50:00,2020-01-24 13:10:00,17.33,PROFIT_TARGET,EURUSD,GBPUSD,93.3,83.9,0.00027,0.00035,1.10504,1.10331,1.3109899999999999,1.30883,1.0,0.76,0.76,17.3,21.6,38.9,173.0,164.16,337.16
