ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2021-01-06 14:05:00,2021-01-07 21:45:00,31.67,PROFIT_TARGET,EURNZD,AUDCAD,75.1,75.9,0.00074,0.00052,1.69009,1.68997,0.98919,0.98438,1.0,1.41,1.4122,1.2,48.1,49.3,7.31,498.4,505.71
2,LONG,2021-01-13 18:50:00,2021-01-19 15:40:00,140.83,PROFIT_TARGET,EURNZD,AUDCAD,25.0,21.5,0.00066,0.00034,1.69147,1.70299,0.98363,0.98226,1.0,1.93,1.9302,115.2,-13.7,101.5,702.28,-194.33,507.95
3,LONG,2021-01-20 17:10:00,2021-01-22 07:30:00,38.33,PROFIT_TARGET,EURNZD,AUDCAD,6.0,22.8,0.00153,0.00114,1.6882899999999998,1.69226,0.97877,0.98153,1.0,1.34,1.3445,39.7,27.6,67.3,242.02,271.82,513.84
4,SHORT,2021-01-22 11:00:00,2021-01-26 00:00:00,85.0,PROFIT_TARGET,EURNZD,AUDCAD,75.1,82.6,0.00073,0.00032,1.6939199999999999,1.68444,0.98136,0.98181,1.0,2.29,2.2893,94.8,-4.5,90.3,577.81,-75.73,502.08
5,SHORT,2021-02-12 20:35:00,2021-02-16 05:45:00,81.17,PROFIT_TARGET,EURNZD,AUDCAD,77.5,76.8,0.00026,0.00017,1.6787999999999998,1.67215,0.98499,0.98394,1.0,1.55,1.5529,66.5,10.5,77.0,405.32,119.6,524.92
6,LONG,2021-02-18 22:10:00,2021-05-31 00:00:00,2425.83,TIME_LIMIT,EURNZD,AUDCAD,24.9,24.4,0.00035,0.00027,1.67489,1.67861,0.98504,0.92987,1.0,1.29,1.2889,37.2,-551.7,-514.5,226.77,-5230.69,-5003.92
7,LONG,2021-05-31 00:05:00,2021-05-31 02:00:00,1.92,PROFIT_TARGET,EURNZD,AUDCAD,10.4,24.4,0.00134,0.00049,1.67877,1.68292,0.92995,0.93118,1.0,2.75,2.7541,41.5,12.3,53.8,252.98,248.6,501.58
8,SHORT,2021-05-31 02:05:00,2021-07-02 19:35:00,785.5,PROFIT_TARGET,EURNZD,AUDCAD,85.5,75.5,0.00056,0.00025,1.68288,1.69059,0.93132,0.9253,1.0,2.26,2.2602,-77.1,60.2,-16.9,-469.92,999.8,529.88
9,SHORT,2021-07-08 01:45:00,2021-07-21 18:10:00,328.42,PROFIT_TARGET,EURNZD,AUDCAD,77.5,77.3,0.00031,0.0002,1.6809699999999999,1.69477,0.93433,0.92242,1.0,1.58,1.5816,-138.0,119.1,-18.9,-841.1,1382.86,541.76
10,LONG,2021-07-21 18:40:00,2021-07-22 05:15:00,10.58,PROFIT_TARGET,EURNZD,AUDCAD,21.8,24.7,0.0011,0.00051,1.69275,1.69614,0.92247,0.92438,1.0,2.17,2.1693,33.9,19.1,53.0,206.65,304.62,511.27
11,LONG,2021-07-29 18:50:00,2021-08-02 18:15:00,95.42,PROFIT_TARGET,EURNZD,AUDCAD,14.5,21.9,0.00057,0.00032,1.69401,1.7026,0.92058,0.92075,1.0,1.8,1.7975,85.9,1.7,87.6,523.64,22.49,546.13
12,SHORT,2021-08-05 01:15:00,2021-08-06 00:00:00,22.75,PROFIT_TARGET,EURNZD,AUDCAD,77.5,78.4,0.00049,0.00025,1.68068,1.67595,0.92572,0.92409,1.0,2.01,2.0081,47.3,16.3,63.6,288.29,240.76,529.05
13,LONG,2021-08-17 00:05:00,2021-08-17 05:50:00,5.75,PROFIT_TARGET,EURNZD,AUDCAD,21.5,22.1,0.00125,0.00056,1.6751,1.68703,0.92153,0.92084,1.0,2.23,2.2321,119.3,-6.9,112.4,727.24,-113.09,614.15
